cliente_id,nombre,ciudad,compras,gasto_total
CLI-004228,Luciano del Ortuño,Trujillo,11,120125.1
CLI-003319,Ofelia Leocadia Cuevas Pulido,Trujillo,13,116287.06
CLI-009456,José Manuel Jordán,Cusco,11,104510.44
CLI-001648,Edmundo del Arcos,Trujillo,10,102535.56
CLI-007094,Urbano Guillen Alcántara,Arequipa,12,102320.71
CLI-009956,Ibán Blas Morata Carvajal,Cusco,13,99860.19
CLI-002363,Teodoro del Fabregat,Piura,9,99837.16
CLI-001511,Jessica Pujol Balaguer,Trujillo,7,99747.21
CLI-001601,Arturo Calatayud Oliver,Arequipa,8,99495.84
CLI-007540,Jovita Castellanos-Esparza,Lima,12,97979.62
CLI-007875,Lara Pedraza Aparicio,Piura,11,97937.68
CLI-000374,Ricardo del Ortega,Piura,11,97229.67
CLI-001019,Adelaida Bellido Maestre,Lima,10,97145.81
CLI-007418,Manu Vazquez Pagès,Arequipa,9,96729.81
CLI-009975,Irene Tovar Barbero,Arequipa,7,94849.2
CLI-001919,Leonardo Cerdá Pedrero,Piura,9,94807.46
CLI-005738,Francisca Checa Arribas,Cusco,9,94656.19
CLI-008607,Fabián Gimenez Mulet,Cusco,10,94577.26
CLI-001809,Carmela de Cuesta,Arequipa,8,94246.32
CLI-007381,Antonio del Silva,Lima,11,93417.93
